Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"QuestionIf question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3 : ",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Short Answer Questions (QPG),Why should we follow safety rules?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :Short ans type ques 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Short Answer Questions (QPG),How can we avoid accidents?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :Short ans type ques 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Short Answer Questions (QPG),What is first aid?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :Short ans type ques 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Short Answer Questions (QPG),What safety rules should we follow while playing?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :Short ans type ques 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Short Answer Questions (QPG),Write any four safety rules to be followed while at school.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :Short ans type ques 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Long Answer Questions (QPG),Prepare a poster on road safety. Find out about different types of road-safety signs and include them in your poster.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :Long ans type ques 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Problem-Solving Skills Based Questions (QPG),What would you do if your friend accidently cuts his hand while using scissors to cut paper?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid : Problem-Solving Skills Based Questions 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Problem-Solving Skills Based Questions (QPG),Ria was going to a market. There was no footpath on the road. On which side of the road should she walk and why?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid : Problem-Solving Skills Based Questions 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Activity Based Question QPG,"Imagine you and your sibling are playing at home, and he/she trips over a toy and
gets a little hurt. What steps would you take to make him/her feel better? Also, write
down the steps you would take to keep them safe?",N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid : Activity Based Question 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Multiple Choice Question (QPG) Test Paper,Soil provides nutrients to,N/A,plants,animals,humans,dead plant,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :MCQ 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Multiple Choice Question (QPG) Test Paper,Humus makes the soil,N/A,unfertile,barren,fertile,dirty,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :MCQ 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Multiple Choice Question (QPG) Test Paper,The remains of dead plants and animals present in soil are called,N/A,soil,rocks,nutrients,humus,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :MCQ 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Multiple Choice Question (QPG) Test Paper,Earthworms and ants live in,N/A,water,air,sky,soil,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :MCQ 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Multiple Choice Question (QPG) Test Paper,The wearing away of top soil by rain and strong wind is called,N/A,soil mobility,soil fertility,soil conservation,soil erosion,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :MCQ 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,True or False (QPG),Sandy soil has a lot of humus in it.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :True and false 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,True or False (QPG),Plants grow well in clayey soil.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :True and false 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,True or False (QPG),We should conserve soil as it takes many years to form.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :True and false 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,True or False (QPG),Soil does not contain water.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :True and false 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,True or False (QPG),Loamy soil is a mixture of sandy and clayey soil.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :True and false 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,One Word Answer (QPG),Unscramble the following words :  ISLO_____________,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder : One Word Answer 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,One Word Answer (QPG),Unscramble the following words :  UHMSU____________,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder : One Word Answer 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,One Word Answer (QPG),Unscramble the following words : ACLY ____________,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder : One Word Answer 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,One Word Answer (QPG),Unscramble the following words :  AYLMO____________,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder : One Word Answer 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,One Word Answer (QPG),Unscramble the following words : HAOWMRTER____________,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder : One Word Answer 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Short Answer Questions (QPG),Why soil is important?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :Short ans type ques 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Short Answer Questions (QPG),How do rocks change into soil?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :Short ans type ques 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Short Answer Questions (QPG),What do you mean by soil erosion?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :Short ans type ques 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Short Answer Questions (QPG),What is soil? How does it form?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :Short ans type ques 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Short Answer Questions (QPG),What does soil contain?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :Short ans type ques 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Short Answer Questions (QPG),Give three uses of soil.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :Short ans type ques 6,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Short Answer Questions (QPG),What is humus? How is it useful for plants?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :Short ans type ques 7,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Short Answer Questions (QPG),Draw a diagram to show that soil contains air.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :Short ans type ques 8,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Long Answer Questions (QPG),How will you increase the fertility of soil? Write down three points.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :Long ans type ques 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Long Answer Questions (QPG),Why can we not use sandy soil for making toys and pots?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :Long ans type ques 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Long Answer Questions (QPG),How will you prove that soil contains water? Discuss with an experiment.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder :Long ans type ques 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 9- Soil: A Natural Wonder,,,Activity Based Question QPG,"Let’s learn how to make clay toys.
Material Required: Clay, water, paint and brush
Method: Take some clay and add water to it. Shape the clay into different erent animals such as
dog, duck and fi sh. Keep them in the sun for drying. Now paint them with different erent colours.
Your clay animals are ready. You can gift them to your friends or use them as paper weights.",N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 9 Soil: A Natural Wonder : Activity Bases Question 1,1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Multiple Choice Question (QPG) Test Paper,Which of the following is an example of gas?,N/A,Book,Milk,Juice,Oxygen,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :MCQ 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Multiple Choice Question (QPG) Test Paper,Which of the following can flow in all directions filling up entire space?,N/A,Water,Eraser,Book,Smoke,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :MCQ 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Multiple Choice Question (QPG) Test Paper,"When you keep water in a freezer, it changes into",N/A,steam,water vapour,ice,drops,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :MCQ 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Multiple Choice Question (QPG) Test Paper,The process of changing ice into water on heating is called,N/A,freezing,condensation,evaporation,melting,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :MCQ 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Multiple Choice Question (QPG) Test Paper,Bottle is an example of a,N/A,semi solid,gas,liquid,solid,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :MCQ 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,True or False (QPG),The process in which a gas changes into liquid is cooling.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :True and false 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,True or False (QPG),Solids have a fixed shape and size.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :True and false 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,True or False (QPG),Liquids can flow easily.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :True and false 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,True or False (QPG),Evaporation is the process of changing solid into liquid.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :True and false 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,True or False (QPG),Gases flow in all directions.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :True and false 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Short Answer Questions (QPG),Why do we put lid on a boiling pot of water while cooking?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Short ans type ques 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Short Answer Questions (QPG),Can you describe how ice changes when you leave it outside on a hot day?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Short ans type ques 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Short Answer Questions (QPG),What is evaporation?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Short ans type ques 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Short Answer Questions (QPG),Define Solid.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Short ans type ques 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Short Answer Questions (QPG),Define Gas.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Short ans type ques 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Short Answer Questions (QPG),Define Melting.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Short ans type ques 6",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Short Answer Questions (QPG),Define Evaporation.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Short ans type ques 7",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Short Answer Questions (QPG),Define Condensation.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Short ans type ques 8",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Short Answer Questions (QPG),Define Freezing.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Short ans type ques 9",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Long Answer Questions (QPG),What are liquids? Give examples.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Long ans type ques 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Long Answer Questions (QPG),How is liquid discuss erent from gas?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Long ans type ques 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Long Answer Questions (QPG),What is condensation? Give an example.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Long ans type ques 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Long Answer Questions (QPG),"Write two points of discuss erence between solids, liquids and gases.",N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Long ans type ques 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Long Answer Questions (QPG),How does water change its form? What are the processes involved?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases :Long ans type ques 5",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Activity Based Question QPG,Take a small cloth or a handkerchief. Dip it in water. Squeeze it and dry it in the sun. Observe after some time. Where did the water go?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases : Activity Bases Question 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 10- Solids, Liquids and Gases",,,Problem-Solving Skills Based Questions (QPG),"Abhita’s mother told her to put milk into the fridge but she put it in the freezer. When
her mother asked her to bring the milk she saw that the milk changed its form. What
is the form of milk? Why this happened? How will she change milk to its original
form?",N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 10 Solids, Liquids and Gases : Problem-Solving Skills Based Questions 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Multiple Choice Question (QPG) Test Paper,Which of the following is not a luminous object?,N/A,bulb,tube light,pencil,candle,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :MCQ 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Multiple Choice Question (QPG) Test Paper,Which of the following is an opaque object?,N/A,oily paper,water,glass,chair,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :MCQ 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Multiple Choice Question (QPG) Test Paper,Which of the following vibrates in our body to produce sound?,N/A,tongue,stomach,voice box,lungs,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :MCQ 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Multiple Choice Question (QPG) Test Paper,Soft and pleasant sound makes us,N/A,feel happy,feel sad,cry,laugh,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :MCQ 4",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Short Answer Questions (QPG),The moon give us light at night. Then why is itcalled a non-luminous object?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Short ans type ques 1",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Short Answer Questions (QPG),What is loud and unpleasant sound called?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Short ans type ques 2",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Short Answer Questions (QPG),State two characteristics of a shadow.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Short ans type ques 3",1
CBSE,Class 3,Science,Illustrative Science,"Chapter 11- Light, Sound and Force",,,Long Answer Questions (QPG),What are luminous objects?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo","Illustrative Science  Class 3 Chapter 11 Light, Sound and Force :Long ans type ques 1",1
