ID,Type,Variant,Physical Price,Physical Discount Price,Ebook Price,Ebook Discount Price
641,book,,360,324,360,270
642,book,,420,378,420,315
646,book,,245,221,245,184
647,book,,190,171,190,143
648,book,,168,152,168,126
649,book,,210,189,210,158
650,book,,290,261,290,218
651,book,,245,221,245,184
652,book,,125,113,125,94
653,book,,305,275,305,229
654,book,,160,144,160,120
655,book,,266,240,266,200
656,book,,165,149,165,124
657,book,,190,171,190,143
658,book,,1720,1548,1720,1290
659,book,,1840,1656,1840,1380
660,book,,2120,1908,2120,1590
661,book,,2200,1980,2200,1650
662,book,,2280,2052,2280,1710
663,book,,295,266,295,222
665,book,,270,243,270,203
666,book,,280,252,280,210
667,book,,305,275,305,229
668,book,,420,378,420,315
669,book,,185,167,185,139
670,book,,270,243,270,203
671,book,,315,284,315,237
672,book,,255,230,255,192
673,book,,315,284,315,237
674,book,,260,234,260,195
675,book,,115,104,115,87
676,book,,140,126,140,105
677,book,,185,167,185,139
678,book,,200,180,200,150
679,book,,200,180,200,150
680,book,,220,198,220,165
681,book,,235,212,235,177
682,book,,250,225,250,188
684,book,,100,90,100,75
685,book,,110,99,110,83
686,book,,120,108,120,90
687,book,,130,117,130,98
688,book,,140,126,140,105
689,book,,140,126,140,105
690,book,,140,126,140,105
691,book,,145,131,145,109
692,book,,210,189,210,158
693,book,,179,162,179,135
694,book,,179,162,179,135
695,book,,189,171,189,142
696,book,,195,176,195,147
697,book,,195,176,195,147
698,book,,250,225,250,188
699,book,,260,234,260,195
700,book,,253,228,253,190
701,book,,195,176,195,147
702,book,,149,135,149,112
703,book,,149,135,149,112
704,book,,149,135,149,112
705,book,,149,135,149,112
706,book,,149,135,149,112
707,book,,179,162,179,135
708,book,,179,162,179,135
709,book,,179,162,179,135
718,book,,85,77,85,64
719,book,,95,86,95,72
720,book,,105,95,105,79
721,book,,105,95,105,79
722,book,,125,113,125,94
723,book,,125,113,125,94
724,book,,135,122,135,102
725,book,,135,122,135,102
726,book,,495,446,495,372
727,book,,525,473,525,394
728,book,,375,338,375,282
729,book,,580,522,580,435
730,book,,580,522,580,435
731,book,,260,234,260,195
732,book,,260,234,260,195
734,book,,190,171,190,143
735,book,,210,189,210,158
736,book,,230,207,230,173
737,book,,240,216,240,180
738,book,,250,225,250,188
739,book,,165,149,165,124
740,book,,285,257,285,214
741,book,,285,257,285,214
742,book,,220,198,220,165
743,book,,240,216,240,180
744,book,,120,108,120,90
745,book,,120,108,120,90
746,book,,140,126,140,105
747,book,,140,126,140,105
748,book,,145,131,145,109
749,book,,150,135,150,113
750,book,,155,140,155,117
751,book,,155,140,155,117
752,book,,340,306,340,255
753,book,,345,311,345,259
754,book,,170,153,170,128
755,book,,165,149,165,124
756,book,,175,158,175,132
757,book,,120,108,120,90
758,book,,120,108,120,90
759,book,,120,108,120,90
760,book,,120,108,120,90
761,book,,120,108,120,90
762,book,,135,122,135,102
763,book,,135,122,135,102
764,book,,135,122,135,102
766,book,,335,302,335,252
767,book,,355,320,355,267
768,book,,385,347,385,289
769,book,,125,113,125,94
770,book,,125,113,125,94
771,book,,96,87,96,72
772,book,,104,94,104,78
773,book,,132,119,132,99
774,book,,140,126,140,105
775,book,,148,134,148,111
776,book,,325,293,325,244
777,book,,225,203,225,169
778,book,,215,194,215,162
779,book,,125,113,125,94
781,book,,125,113,125,94
782,book,,250,225,250,188
783,book,,270,243,270,203
784,book,,140,126,140,105
785,book,,150,135,150,113
786,book,,150,135,150,113
787,book,,130,117,130,98
788,book,,130,117,130,98
789,book,,160,144,160,120
790,book,,140,126,140,105
791,book,,170,153,170,128
792,book,,190,171,190,143
793,book,,150,135,150,113
794,book,,200,180,200,150
795,book,,235,212,235,177
796,book,,250,225,250,188
797,book,,250,225,250,188
798,book,,180,162,180,135
799,book,,80,72,80,60
800,book,,85,77,85,64
801,book,,90,81,90,68
802,book,,105,95,105,79
803,book,,160,144,160,120
804,book,,123,111,123,93
805,book,,318,287,318,239
806,book,,318,287,318,239
807,book,,425,383,425,319
808,book,,435,392,435,327
809,book,,425,383,425,319
810,book,,495,446,495,372
811,book,,360,324,360,270
812,book,,410,369,410,308
813,book,,180,162,180,135
814,book,,205,185,205,154
815,book,,340,306,340,255
816,book,,375,338,375,282
817,book,,310,279,310,233
818,book,,315,284,315,237
819,book,,226,204,226,170
820,book,,210,189,210,158
821,book,,365,329,365,274
822,book,,430,387,430,323
823,book,,498,449,498,374
824,book,,565,509,565,424
825,book,,65,59,65,49
826,book,,65,59,65,49
827,book,,250,225,250,188
828,book,,285,257,285,214
829,book,,350,315,350,263
830,book,,350,315,350,263
831,book,,480,432,480,360
832,book,,480,432,480,360
833,book,,390,351,390,293
834,book,,170,153,170,128
835,book,,170,153,170,128
836,book,,180,162,180,135
837,book,,180,162,180,135
838,book,,195,176,195,147
839,book,,155,140,155,117
840,book,,155,140,155,117
841,book,,155,140,155,117
842,book,,155,140,155,117
843,book,,155,140,155,117
844,book,,65,59,65,49
845,book,,65,59,65,49
846,book,,65,59,65,49
847,book,,65,59,65,49
848,book,,195,176,195,147
849,book,,202,182,202,152
850,book,,209,189,209,157
851,book,,218,197,218,164
852,book,,225,203,225,169
853,book,,143,129,143,108
854,book,,200,180,200,150
855,book,,87,79,87,66
856,book,,101,91,101,76
860,book,,750,675,750,563
861,book,,1,1,1,1
862,book,,1,1,1,1
863,book,,1,1,1,1
864,book,,1,1,1,1
865,book,,1,1,1,1
866,book,,180,162,180,135
867,book,,200,180,200,150
868,book,,200,180,200,150
869,book,,220,198,220,165
870,book,,220,198,220,165
871,book,,230,207,230,173
872,book,,230,207,230,173
873,book,,240,216,240,180
874,book,,385,347,385,289
875,book,,399,360,399,300
876,book,,430,387,430,323
877,book,,445,401,445,334
878,book,,450,405,450,338
879,book,,440,396,440,330
880,book,,450,405,450,338
881,book,,475,428,475,357
882,book,,485,437,485,364
883,book,,495,446,495,372
884,book,,315,284,315,237
885,book,,330,297,330,248
886,book,,330,297,330,248
887,book,,375,338,375,282
888,book,,395,356,395,297
889,book,,465,419,465,349
890,book,,595,536,595,447
891,book,,485,437,485,364
892,book,,465,419,465,349
893,book,,450,405,450,338
894,book,,375,338,375,282
895,book,,395,356,395,297
896,book,,410,369,410,308
897,book,,425,383,425,319
898,book,,445,401,445,334
899,book,,440,396,440,330
900,book,,440,396,440,330
901,book,,340,306,340,255
902,book,,375,338,375,282
903,book,,455,410,455,342
904,book,,415,374,415,312
905,book,,425,383,425,319
906,book,,435,392,435,327
907,book,,425,383,425,319
908,book,,445,401,445,334
909,book,,265,239,265,199
910,book,,415,374,415,312
911,book,,425,383,425,319
912,book,,435,392,435,327
913,book,,395,356,395,297
914,book,,410,369,410,308
915,book,,435,392,435,327
916,book,,620,558,620,465
918,book,,370,333,370,278
919,book,,385,347,385,289
920,book,,415,374,415,312
921,book,,440,396,440,330
922,book,,460,414,460,345
923,book,,535,482,535,402
924,book,,545,491,545,409
925,book,,555,500,555,417
926,book,,240,216,240,180
927,book,,360,324,360,270
928,book,,365,329,365,274
929,book,,365,329,365,274
930,book,,395,356,395,297
931,book,,515,464,515,387
932,book,,535,482,535,402
933,book,,545,491,545,409
934,book,,385,347,385,289
935,book,,395,356,395,297
936,book,,460,414,460,345
937,book,,440,396,440,330
938,book,,455,410,455,342
939,book,,485,437,485,364
940,book,,155,140,155,117
941,book,,195,176,195,147
943,book,,299,270,299,225
944,book,,325,293,325,244
945,book,,375,338,375,282
946,book,,385,347,385,289
947,book,,375,338,375,282
948,book,,350,315,350,263
949,book,,380,342,380,285
950,book,,390,351,390,293
951,book,,390,351,390,293
952,book,,390,351,390,293
953,book,,395,356,395,297
954,book,,415,374,415,312
955,book,,425,383,425,319
956,book,,435,392,435,327
957,book,,230,207,230,173
958,book,,270,243,270,203
959,book,,310,279,310,233
960,book,,350,315,350,263
961,book,,390,351,390,293
962,book,,415,374,415,312
963,book,,445,401,445,334
964,book,,445,401,445,334
965,book,,210,189,210,158
966,book,,225,203,225,169
967,book,,270,243,270,203
968,book,,290,261,290,218
969,book,,305,275,305,229
970,book,,355,320,355,267
971,book,,375,338,375,282
972,book,,385,347,385,289
973,book,,245,221,245,184
974,book,,265,239,265,199
975,book,,655,590,655,492
976,book,,655,590,655,492
977,book,,495,446,495,372
978,book,,495,446,495,372
979,book,,390,351,390,293
980,book,,390,351,390,293
981,book,,415,374,415,312
982,book,,415,374,415,312
983,book,,595,536,595,447
984,book,,595,536,595,447
985,book,,695,626,695,522
986,book,,695,626,695,522
987,book,,695,626,695,522
988,book,,695,626,695,522
989,book,,540,486,540,405
990,book,,560,504,560,420
991,book,,575,518,575,432
993,book,,380,342,380,285
994,book,,390,351,390,293
995,book,,395,356,395,297
996,book,,145,131,145,109
997,book,,168,152,168,126
998,book,,240,216,240,180
999,book,,250,225,250,188
1000,book,,165,149,165,124
1001,book,,195,176,195,147
1002,book,,535,482,535,402
1003,book,,535,482,535,402
1004,book,,555,500,555,417
1005,book,,560,504,560,420
1006,book,,510,459,510,383
1007,book,,280,252,280,210
1008,book,,270,243,270,203
1009,book,,590,531,590,443
1010,book,,590,531,590,443
1011,book,,470,423,470,353
1012,book,,265,239,265,199
1013,book,,285,257,285,214
1014,book,,320,288,320,240
1015,book,,350,315,350,263
1016,book,,385,347,385,289
1017,book,,405,365,405,304
1018,book,,415,374,415,312
1019,book,,520,468,520,390
1020,book,,535,482,535,402
1021,book,,555,500,555,417
1022,book,,495,446,495,372
1023,book,,520,468,520,390
1024,book,,495,446,495,372
1025,book,,680,612,680,510
1026,book,,495,446,495,372
1027,book,,680,612,680,510
1028,book,,530,477,530,398
1029,book,,715,644,715,537
1030,book,,425,383,425,319
1031,book,,345,311,345,259
1032,book,,455,410,455,342
1033,book,,360,324,360,270
1034,book,,99,90,99,75
1035,book,,495,446,495,372
1036,book,,520,468,520,390
1037,book,,495,446,495,372
1038,book,,210,189,210,158
1039,book,,105,95,105,79
1040,book,,290,261,290,218
1041,book,,330,297,330,248
1042,book,,390,351,390,293
1043,book,,410,369,410,308
1044,book,,430,387,430,323
1045,book,,425,383,425,319
1046,book,,430,387,430,323
1048,book,,100,90,100,75
1049,book,,11,10,11,9
1050,book,,1,1,1,1
1051,book,,1,1,1,1
1052,book,,280,252,280,210
1053,book,,650,585,650,488
1054,book,,275,248,275,207
1055,book,,450,405,450,338
1056,book,,450,405,450,338
1057,book,,378,322,378,284
1058,book,,192,164,192,144
1059,book,,256,218,256,192
1060,book,,141,120,141,106
1061,book,,160,136,160,120
1062,book,,333,284,333,250
1063,book,,345,294,345,259
1064,book,,300,255,300,225
1065,book,,371,316,371,279
1066,book,,100,90,100,75
1067,book,,282,240,282,212
1068,book,,256,218,256,192
1069,book,,243,207,243,183
1070,book,,154,139,154,116
1071,book,,160,144,160,120
1072,book,,123,111,123,93
1073,book,,105,95,105,79
1074,book,,100,90,100,75
