S No.,School Code,School Name,State Name,City Name,Address,Email,Phone,PinCode,Description
52,SCH00103  ,ADANI VIDYA MANDIR,Gujarat,Ahmedabad,"B/H ADANI CNG PUMP, OFF. S. G. HIGHWAY, MAKARBA ,",NULL,NULL,380051,NULL
53,SCH00108  ,ADARSH PUBLIC SCHOOL,Delhi,NULL,C BLOCK VIKASPURI,NULL,NULL,110018,NULL
54,SCH00109  ,ADARSH PUBLIC SCHOOL,Haryana,Bhiwani,GULSHAN NAGAR HISAR ROAD THOSHAM,NULL,NULL,NULL,NULL
55,SCH00110  ,ADARSH PUBLIC SCHOOL,Maharashtra,Sangli ,"KUNDLE ROAD , BHAVANINAGER VITA, TAL-KAHANPUR",NULL,NULL,415311,NULL
56,SCH00111  ,ADARSH PUBLIC SCHOOL,Uttar Pradesh,Noida,SEC - 52 NOIDA,adarshpublicschool.121@gmail.com,1204357441,NULL,NULL
57,SCH00112  ,ADARSH SHRI RAM VIDYA MANDIR,Delhi,NULL,CHETAN VIHAR GOPAL NAGAR NEAR RAIL FACTORY,NULL,NULL,110043,NULL
58,SCH00114  ,ADARSH SR. SEC SCHOOL,Haryana,Bhiwani,VPO. MADINA,NULL,NULL,NULL,NULL
59,SCH00115  ,ADARSH UCHCH VIDYALAYA +2 SCHOOL,Jharkhand,NULL,MADHWA TAND. JAINAGAR,NULL,NULL,825324,NULL
60,SCH00116  ,ADARSH VIDYA MANDIR,Jharkhand,Bokaro,DARKU NAGARA.V.M ROAD- CHASBOKARO,NULL,NULL,827013,NULL
61,SCH00117  ,ADARSH VIDYA MANDIR,Rajasthan,Sirohi,SHANKER VIDYAPEETHALWAR PALACEMOUNT ABU,NULL,NULL,307501,NULL
62,SCH00118  ,ADARSH VIDYA SANGHA,Karnataka,Bangalore,"# 7, 1ST CROSS, K V TEMPLE STREET, BALEPET, CHICKPET, BANGALORE",NULL,NULL,560032,NULL
63,SCH00121  ,ADARSH VIKASH VIDYALYA,Bihar,Patna,POSTAL PARK,NULL,NULL,NULL,NULL
64,SCH00123  ,ADELAID CONVENT SCHOOL,Bihar,Patna,"MUNNA CHOWK, CITRAGUPT NAGAR,",NULL,NULL,800020,NULL
65,SCH00127  ,ADHARSHILA PUBLIC SCHOOL,Uttar Pradesh,Noida,PHASE 2 NOIDA,NULL,NULL,NULL,NULL
66,SCH00128  ,ADHARSHILA THE FOUNDATION,Punjab,Patiala,BHADOK RAJPURA,NULL,NULL,140401,NULL
67,SCH00130  ,ADHUNIK PUBLIC SCHOOL,Himachal Pradesh,Dharmsala (Dharamsala),"ABHILASHA, SIDHBARIDHARAMSHALA.",admin@aadhunikschool.in,189 223 4550,NULL,NULL
68,SCH00131  ,ADHYAYAN SCHOOL,Karnataka,Mysore,"NO.CA-2, ADISHAKTHI ROAD, SHAKTHI NAGAR, UDAYAGIRI",NULL,NULL,570012,NULL
69,SCH00132  ,ADINATH PUBLIC SCHOOL,Rajasthan,Alwar,"GANDHI NAGAR, SCHEME NO.8, ALWAR",NULL,NULL,NULL,NULL
70,SCH00134  ,ADITHYA ENGLISH SCHOOL,Karnataka,Bangalore,"19/3, DINNUR MAIN ROAD, EX-SERVICEMEN COLONY,NAGAR POLICE STATION, R T NAGAR",NULL,NULL,560032,NULL
71,SCH00138  ,ADITIYA SCHOOL,Karnataka,Bangalore,MYTHRI LAYOUT DODDABALAPURA,NULL,NULL,560066,NULL
72,SCH00139  ,ADITYA ACADEMY,West Bengal,Kolkata,965 JESSORE ROAD,NULL,NULL,NULL,NULL
73,SCH00140  ,ADITYA ACADEMY SR SEC,West Bengal,Kolkata,KADAMBAGGACHI BARASAT 24 PGS(N),NULL,NULL,NULL,NULL
74,SCH00141  ,ADITYA BIRLA PUBLIC SCHOOL,Gujarat,Rajula,KOVAYATA RAJULA KOVAYA TALUQ ---RAJULA DISTT AMRELI GUJARAT,NULL,NULL,365544,NULL
75,SCH00143  ,ADITYA BIRLA PUBLIC SCHOOL,Odisha,Rayagada,"AT-DORAGUDA,PO-KUCHEIPADAR,DIST-RAYAGADA",NULL,NULL,765001,NULL
76,SCH00144  ,ADITYA BIRLA PUBLIC SCHOOL,Rajasthan,Jaipur,"GRASIM CEMENT, MOHANPURA, TEHSIL KOTPUTLI",NULL,NULL,303108,NULL
77,SCH00145  ,ADITYA BIRLA PUBLIC SCHOOL,Rajasthan,Jodhpur,ADITYA NAGAR KHARIYA KHANGAR TEH. BHOPALGARH,NULL,NULL,342606,NULL
78,SCH00147  ,THE ADITYA - BIRLA PUBLIC SCHOOL,Karnataka,Gulbarga,"ADITYANAGAR MALKHED ROAD, DIST GULBARGA",NULL,NULL,588292,NULL
79,SCH00153  ,ADITYA RESIDENTIAL SCHOOL,Odisha,Sambalpur,"AT - BHALUBAHAL , PO - SASON",NULL,NULL,NULL,NULL
80,SCH00155  ,ADLS SUNSHINE SCHOOL,Jharkhand,Jamshedpur,"BESIDE KARIM CITY COLLEGE, SAKCHI",NULL,NULL,831001,NULL
81,SCH00156  ,ADONOI HOMES,West Bengal,NULL,"NAYABAZAR, JORETHANG",NULL,NULL,737121,NULL
82,SCH00157  ,MONTFORT WORLD SCHOOL,Haryana,Karnal,VILLAGE SUBRI,NULL,NULL,132001,NULL
83,SCH00158  ,ADRASH PUBLIC SCHOOL,Haryana,Karnal,KUNJPURA ROAD,NULL,NULL,132001,NULL
84,SCH00159  ,ADRASH VIDYA MANDIR,Rajasthan,Jhunjhunu,"FATHEPUR BY PASS ROAD, BEHIND THE WATER WORKS, MANDAWA",NULL,NULL,333704,NULL
85,SCH00160  ,ADRIEL HIGH SCHOOL,Delhi,NULL,POCKET-2 SECTOR 24 ROHINI,NULL,NULL,110085,NULL
86,SCH00165  ,ADWAIT MISSION HIGH SCHOOL,Bihar,Banka,"BOUNSI, BANKA",NULL,NULL,813104,NULL
87,SCH00167  ,ADYASHA SMART SCHOOL,Odisha,Khordha,"HIG 1/68,KAPILA PRASAD, BHUBANESWAR",NULL,NULL,NULL,NULL
88,SCH00168  ,AE CS & RAMAPRIYA SCHOOL,Karnataka,Mulbagal,"BANGALORE-CHINTAMANI BYE PASS ROAD MULBAGAL, DIST KOLAR",NULL,NULL,563131,NULL
89,SCH00169  ,AEM ENG MED SCHOOL,Odisha,Bargarh,"MAA KALI MANDIR ROAD , PO - BARGARH",NULL,NULL,NULL,NULL
90,SCH00170  ,"AG""S CITY CENTRE SCHOOL",Jammu and Kashmir,Srinagar,"NOWGAM,BYE PASS",NULL,NULL,190001,NULL
91,SCH00173  ,AGASTHYA SCHOOL,Karnataka,Bangalore,D. GROUP LAYOUT VISHWANEEDAM POST BANGALORE,NULL,NULL,NULL,NULL
92,SCH00174  ,AGGARSAIN PUBLIC SCHOOL,Haryana,NULL,KURUKSHETRA,NULL,NULL,136118,NULL
93,SCH00176  ,AGIS INTERNATIONAL SCHOOL,Rajasthan,Jhunjhunu,DORASAR,NULL,NULL,333003,NULL
94,SCH00178  ,AGRAGAMI VIDYANIKETHAN,Karnataka,Yelahanka,"NO.15/1-A ,13TH MAIN ROAD, A- SECTOR,  80 FEET ROAD, YELAHANKA-560064, KARNATAKA",NULL,NULL,560064,NULL
95,SCH00179  ,AGRASAIN BALIKA SHISHA SADAN,West Bengal,Howrah,01 ARASAIN STREET,NULL,NULL,NULL,NULL
96,SCH00180  ,AGRASAIN BOYS,West Bengal,Howrah,24/1 AGRASAIN STREET,NULL,NULL,NULL,NULL
97,SCH00183  ,AHAM ATHAMA VIDYALAYA,Karnataka,Bangalore,GRUHALAKSHMI LAYOUT NELGADANAHALLI,NULL,NULL,560073,NULL
98,SCH00184  ,AHLCON INTERNATIONAL SCHOOL,Delhi,NULL,MAYUR VIHAR PHASE I,NULL,NULL,NULL,NULL
99,SCH00185  ,AHLCON PUBLIC SCHOOL,Delhi,NULL,MAYUR VIHAR PHASE I,NULL,NULL,NULL,NULL
100,SCH00186  ,AHMEDABAD PUBLIC SCHOOL,Gujarat,Ahmedabad,"GANDHINAGAR--AHMEDABAD ROAD, NEAR AIRPORT, OPP. MOTHER DAIRY, ON RIVER BANK ( INDIRA BRIDGE) AHMEDABAD--382428 (GUJARAT )",NULL,7923969316,382428,NULL
101,SCH00189  ,AIM STOCK SCHOOL,Delhi,NULL,KH.NO.20/21/1 HIMGIRI ENCLAVE BURARI DELHI,NULL,NULL,110036,NULL
102,SCH00192  ,AIR FORCE BAL BHARTI,Delhi,NULL,"LODHI COLONY, NEW DELHI 11003",NULL,NULL,NULL,NULL
103,SCH00193  ,AIR FORCE GOLDAN JUBLEE INSTITUTE,Delhi,NULL,SUBROTO PARK . DELHI CANTT,NULL,NULL,NULL,NULL
104,SCH00194  ,AIR FORCE GYAN JYOTI,Delhi,NULL,PALAM,NULL,NULL,NULL,NULL
105,SCH00195  ,AIR FORCE JUN. SCHOOL,Delhi,NULL,SUBROTO PARK DELHI CANTT NEW DELHI 110010,NULL,NULL,NULL,NULL
106,SCH00196  ,AIR FORCE PUBLIC SCHOOL,Haryana,Ambala,AMBALA CANTT,NULL,NULL,134104,NULL
107,SCH00197  ,AIR FORCE SCHOOL,Rajasthan,Jaipur,"KANAK GHAWTI, AMER ROAD",NULL,NULL,302002,NULL
108,SCH00203  ,AIRPORT ENGLISH SCHOOL,West Bengal,Kolkata,"2 NO GATE, AIRPORT CAMPUS, DUMDUM",NULL,NULL,700052,NULL
109,SCH00204  ,AIRPORT SCHOOL,Gujarat,Ahmedabad,": AAI RESIDENTIAL QUARTERS,S.V.P. INTERNATIONAL AIRPORT, SARDARNAGAR, HANSOL, AHMEDABAD--382475 (GUJARAT )",NULL,7922864175,382475,NULL
110,SCH00206  ,AISHWARYA INTERNATIONAL PUBLIC SCHOOL,Karnataka,Mandya,"B.M ROAD, NEAR H.K.V NAGAR, MADDUR 571428",NULL,NULL,NULL,NULL
111,SCH00208  ,AIWC ACADEMY OF EXCELLENCE,Jharkhand,Jamshedpur,"DHING ROAD, OLD BARIDIH,",NULL,NULL,831017,NULL
112,SCH00209  ,AJANTA PUBLIC SCHOOL,Haryana,Gurgaon,SECTOR-31,NULL,NULL,122001,NULL
113,SCH00210  ,AJANTA PUBLIC SCHOOL,Punjab,Amritsar,"BASANT AVENU, AMRITSAR.",NULL,NULL,NULL,NULL
114,SCH00215  ,AJIT KARAM SINGH SCHOOL,Chandigarh,Chandigarh,SECTOR- 41 B,NULL,NULL,NULL,NULL
115,SCH00216  ,AJIT PUBLIC SCHOOL,Punjab,Amritsar,"AJIT NAGAR,",NULL,NULL,NULL,NULL
116,SCH00219  ,AKAI PUBLIC SCHOOL,Karnataka,Bangalore,"SRI KRISHNA KALYAN MANTAPPA ROAD NAGASHETTYHALLI , SANJAY NAGAR MAIN ROAD, BANGALORE ",NULL,NULL,560094,NULL
117,SCH00220  ,AKAL ACADEMY,Punjab,Patiala,"VILLAGE REETH KHERI , P.O. MANPUR",NULL,NULL,147001,NULL
118,SCH00221  ,AKAL ACADEMY PUBLIC SCHOOL,Punjab,Kapurthala,"VILLAGE ALLADAD CHAK, TALWANDI CHAUDHRIAN ROAD,SULTANPUR LODHI,P.O- SARAIN JATTAN,",NULL,NULL,NULL,NULL
119,SCH00222  ,AKAL GALAXY CONVENT SCHOOL,Punjab,Kapurthala,"VILLAGE ALLADAD CHAK, TALWANDI CHAUDHRIAN ROAD,SULTANPUR LODHI,P.O- SARAIN JATTAN,",NULL,NULL,NULL,NULL
120,SCH00225  ,AKASH INTERNATIONAL RESIDENTIAL PUBLIC SCHOOL,Karnataka,Bangalore,"BAICHAPURA DEVANAHALLI TOWN - 562110, PRASANNAHALLI ROAD, BANGALORE RURAL DISTRICT. ,562110",NULL,NULL,NULL,NULL
121,SCH00226  ,AKASH INTERNATIONAL SCHOOL (ICSE ),Karnataka,Devanahalli,"BAICHAPURA, PRESANAHALLI ROAD, DEVANAHALLI-562110,  INT. AIR PORT ,  BANGALORE RURAL DISTT. , KARNATAKA",NULL,NULL,562110,NULL
122,SCH00227  ,AKASH INTERNATIONAL SCHOOL,Karnataka,Devanahalli,"Prasannahalli Road,Near Int. Airport,  Devanahalli-562110, Distt.  Bengaluru, Karnataka ",NULL,NULL,562110,NULL
123,SCH00228  ,AKASH MODAL SEN.SEC. SCHOOL,Delhi,NULL,BALJEET VIHAR NITARI EXT .NANGLOI,NULL,NULL,110086,NULL
124,SCH00229  ,AKASH PUBLIC SCHOOL,Delhi,NULL,ARJUN PARK NAJAFGARG-43,NULL,NULL,NULL,NULL
125,SCH00230  ,AKASHDEEP MODEL SCHOOL,Delhi,NULL,"B BLOCK, DAYALPUR KARAWAL NAGAR",NULL,NULL,NULL,NULL
126,SCH00233  ,AKHIL BAL VIDYALAYA,Delhi,NULL,GALI 8FRIENDS ANCLAVENANGLOI,NULL,NULL,NULL,NULL
127,SCH00235  ,AKKAMAHA DEVI HIGHER PRIMARY SCHOOL,Karnataka,Raichur,NEAR OLD BUS STAND LINGUSUGUR,NULL,NULL,584122,NULL
128,SCH00236  ,AKLANK PUBLIC SCHOOL,Rajasthan,Kota,BASANT VIHAR,NULL,NULL,NULL,NULL
129,SCH00237  ,AKSHARA DAY PLAY HOME & NURSERY SCHOOL,Karnataka,Bangalore,"#6, MATHRU SHREE NILAYA 'S' NO. 3RD STREET, SEPPING ROAD CROSS, SHIVAJINAGAR",NULL,NULL,560001,NULL
130,SCH00241  ,AKSHARA INTERNATIONAL SCHOOL,Maharashtra,Pune (Poona) [Poona],"S.NO. 109, OPP.PRERANA BHAVAN, BEHIND Â€˜SOUL CURRYÂ€™, RESTAURANT, WAKAD",NULL,NULL,411057,NULL
131,SCH00244  ,AKSHARA PUBLIC SCHOOL,Karnataka,Lingsugur (Lingasugur),"PINCHANPURA  NEAR CLOCK CIRCLE, LINGASUGUR, DIST RAICHUR ",NULL,NULL,584122,NULL
132,SCH00262  ,AL AMEN AKADEMY,Assam,Karimganj,BADARPUR,NULL,NULL,788006,NULL
133,SCH00267  ,AL HAMD WSA ENGLISH MEDIUM SCHOOL,West Bengal,Kolkata,"18 A , DR.SUDHIR BASU ROAD",NULL,NULL,700023,NULL
134,SCH00268  ,AL HAMD WSA ENGLISH MEDIUM SCHOOL,West Bengal,Kolkata,18 A DR.SUDHIR BASU ROAD,NULL,NULL,700023,NULL
135,SCH00269  ,AL HIDAYAH MISSION SCHOOL,Bihar,Gaya,NEMATIA ROAD,NULL,NULL,823001,NULL
136,SCH00277  ,AL MADRASA-TUS-SAIFIYA-TUL-BURHANIAH,Gujarat,Rajkot,MOHAMMADI BAUGOPP. RAILWAY STATIONJUNCTION ROAD,NULL,NULL,NULL,NULL
137,SCH00279  ,ALA ANGLAISE SCHOOL,Jharkhand,Ramgarh,"LAXMI TALKIES ROAD, BHURKUNDA",NULL,NULL,NULL,NULL
138,SCH00280  ,ALABANY HALL,West Bengal,Kolkata,"47 , GORA CHAND ROAD",NULL,NULL,700014,NULL
139,SCH00286  ,AL-AMEEN CHINAR VALLEY,Jammu and Kashmir,Badgam (Budgam),"HUMHUMA, AIRPORT ROAD",NULL,NULL,191111,NULL
140,SCH00287  ,AL-AMEEN ENGLISH HIGH SCHOOL,Karnataka,Belgaum,B.C.NO-6 FORT-BELGAUM-KARNATAKA-16,NULL,NULL,NULL,NULL
141,SCH00290  ,AL-ASMA EDUCATIONAL INSTT.,Jammu and Kashmir,Badgam (Budgam),"NEAR B.D.O,OFFICE HAKNIPORA WARD NO 3",NULL,NULL,191111,NULL
142,SCH00294  ,ALBERT SCHOOL,Bihar,Patna,"SANICHRA , DARGHA ROAD, PATNA",NULL,NULL,800006,NULL
143,SCH00299  ,ALEXENDRA HIGH SCHOOL,Punjab,Amritsar,QUEENS ROAD,NULL,NULL,NULL,NULL
144,SCH00302  ,AL-HABEEB PUBLIC SCHOOL,Jammu and Kashmir,Pulwama,MAIN STOP,NULL,NULL,190001,NULL
145,SCH00312  ,ALL SAINT SCHOOL,West Bengal,Kolkata,"CW, 44, RABINDRA NAGAR, BUDGE BUDGE,",NULL,NULL,700137,NULL
146,SCH00314  ,ALL SAINTS CHURCH SCHOOL,Rajasthan,Jaipur,"OPPOSITE GANPATI PLAZA, MI ROAD,JAIPUR",NULL,NULL,302001,NULL
147,SCH00315  ,ALL SAINTS CHURCH SCHOOL,West Bengal,Medinipur (Midnapore),"BUNGLOW NO 561, SOUTH SIDE , KHARAGPUR,",NULL,NULL,721301,NULL
148,SCH00316  ,ALL SAINTS' DIOCESAN HIGHER SECONDARY SCHOOL,Meghalaya,Shillong,LACHUMIERE,NULL,NULL,793001,NULL
149,SCH00329  ,ALL SANT SENIOR SECONDARY SCHOOL,Rajasthan,Ajmer,BEAWAR ROAD,NULL,NULL,305001,NULL
150,SCH00334  ,ALLEEMEE PUBLIC SCHOOL,Karnataka,Gulbarga,"TIMAPURI COLONY NEAR RAM MANDIR JEWARGI ROAD, GULBARGA ",NULL,NULL,585104,NULL
151,SCH00339  ,ALLIED INTERNATIONAL SCHOOL,Bihar,Gaya,BAGESHWARI GUMTI,NULL,NULL,823001,NULL
152,SCH00351  ,ALOK BHARTI PUBLIC SCHOOL,Delhi,NULL,"B-1 ,SECTOR 16 ROHINIDELHI=110087",alok_abps@yahoo.co.in,011-27857700,110087,NULL
153,SCH00352  ,ALOK SCHOOL,Rajasthan,Chittaurgarh(Chittorgarh),"VILLAGE SURAJPOLE,TEH.ERAL",NULL,NULL,312001,NULL
154,SCH00353  ,ALOK SENIOR SECONDARY SCHOOL,Rajasthan,Rajsamand,JAWAD BYPASS,NULL,NULL,NULL,NULL
155,SCH00354  ,ALPHA BCI MEMORIAL ACADEMY,Manipur,NULL,"THANGMEIBAND, HIJAM DEWAN LEIKAI",NULL,NULL,795004,NULL
156,SCH00356  ,ALPHA ENGLISH SCHOOL,Karnataka,Bangalore,NEAR SAI BABA TEMPLE LEGGERE BANGALORE,NULL,NULL,NULL,NULL
157,SCH00359  ,ALPHA ENGLISH SENIOR SECONDARY SCHOOL,Rajasthan,Sawai Madhopur,"MAAN TOWN,BAL MANDIR COLONY",NULL,NULL,322001,NULL
158,SCH00360  ,ALPHA INTERNATIONAL SCHOOL,Jharkhand,Ranchi,"ARGORA , KATHAL MORE ROAD,",NULL,NULL,NULL,NULL
159,SCH00361  ,ALPHA INTERNATIONAL SCHOOL SENIOR SECONDARY SCHOOL,Rajasthan,Jaipur,"KATARIA FARM HOUSE , VISHNAWALA, SERSI ROAD",NULL,NULL,302034,NULL
160,SCH00363  ,ALPHA SCHOOL,Delhi,NULL,LADO SARAI,NULL,NULL,NULL,NULL
161,SCH00367  ,ALPHABET PUBLIC SCHOOL,Arunachal Pradesh,NULL,"MAIN ROAD, NEAR BAPTIST CHURCH, NIRJULI",NULL,NULL,791109,NULL
162,SCH00371  ,ALPHONSA SCHOOL (KARANJOSHI ),Maharashtra,Kolhapur,KARANJOSHI  TAL-SHAUHWADI  DIST-KOLHAPUR,NULL,NULL,416145,NULL
163,SCH00372  ,ALPHONSA SCHOOL,Maharashtra,Kolhapur,"PADALI, TAL -KARVEER",NULL,NULL,416110,NULL
164,SCH00373  ,ALPHONSA SCHOOL,Maharashtra,Sangli ,"M.I.D.C. ROAD, MIRAJ TAL ROAD MIRAJ, SANGLI",NULL,NULL,416410,NULL
