#ID,Chapter Name,Chapter No,Board,Class,Subject,Series,Image,Position,Status,Action
41,Chapter 15. Means of Transport,15,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,15,Active,
42,Chapter 15. Means of Transport,15,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,15,Active,
43,Chapter 15. People who help us,15,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,15,Active,
44,Chapter 15. The Working of the UN,15,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,15,Active,
45,Chapter 16 : Similarity Of Triangle,16,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,16,Active,
46,Chapter 16. Directions,16,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,16,Active,
47,Chapter 16. Festivals,16,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,16,Active,
48,Chapter 16. India and the United Nations,16,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,16,Active,
49,Chapter 16. Kolkata,16,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,16,Active,
50,Chapter 16. Means of Communication,16,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,16,Active,
51,Chapter 17 : Loci,17,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,17,Active,
52,Chapter 17. Great Persons,17,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,17,Active,
53,Chapter 17. Our Rich Heritage,17,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,17,Active,
54,Chapter 17. The History of Man,17,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,17,Active,
55,Chapter 17. The Revolt of 1857,17,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,17,Active,
56,Chapter 17. Time,17,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,17,Active,
57,Chapter 18 : Angle And Cyclic Properties Of A Circle,18,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,18,Active,
58,Chapter 18. Early Human Beings,18,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,18,Active,
59,Chapter 18. Our Government,18,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,18,Active,
60,Chapter 18. Seasons,18,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,18,Active,
61,Chapter 18. The Beginning of The Freedom Struggle,18,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,18,Active,
62,Chapter 18. The Invention of the Wheel,18,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,18,Active,
63,Chapter 19 : Tangent Properties Of Circle,19,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,19,Active,
64,Chapter 19. India,19,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,19,Active,
65,"Chapter 19. Our Goals, Rights and Duties",19,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,19,Active,
66,Chapter 19. Water,19,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,19,Active,
67,Chapter 2. How Our Earth Looks,2,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,2,Active,
68,Chapter 2. Maps : Our Guide,2,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,2,Active,
69,Chapter 2. Our Food,2,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,2,Active,
70,Chapter 2. Our Food,2,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,2,Active,
71,Chapter 2. The Northern Mountain Wall,2,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,2,Active,
72,Chapter 20 : Constructions,20,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,20,Active,
73,Chapter 20. Our Beautiful Earth,20,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,20,Active,
74,Chapter 22 : Trignometrical Identites,22,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,22,Active,
75,Chapter 23 : Heights And Distances,23,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,23,Active,
76,Chapter 24 : Graphical Representation Of Statistical Data,24,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,24,Active,
77,Chapter 25 : Measures Of Central Tendency (Mean),25,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,25,Active,
78,"Chapter 26 : Median, Quartile And Mode",26,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,26,Active,
79,Chapter 27 : Probability,27,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,27,Active,
80,Chapter 3. Clothes,3,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,3,Active,
81,Chapter 3. Clothes,3,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,3,Active,
82,Chapter 3. Physical Divisions of India,3,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,3,Active,
83,Chapter 3. The Northern Plains,3,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,3,Active,
84,Chapter 3. Weather and Climate,3,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,3,Active,
85,Chapter 4. Keeping Healthy,4,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,4,Active,
86,Chapter 4. Safety Rules,4,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,4,Active,
87,Chapter 4. The Democratic Republic of Congo,4,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,4,Active,
88,Chapter 4. The States of India,4,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,4,Active,
89,Chapter 4. The Western Desert of India,4,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,4,Active,
90,Chapter 5. Greenland : The Land of Ice and Snow,5,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,5,Active,
91,Chapter 5. Houses,5,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,5,Active,
92,Chapter 5. Our Food,5,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,5,Active,
93,Chapter 5. Safety Rules,5,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,5,Active,
94,Chapter 5. The Southern Plateaus,5,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,5,Active,
95,Chapter 6. Life in the Coastal Regions,6,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,6,Active,
96,Chapter 6. Makers of Our House,6,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,6,Active,
97,Chapter 6. Our Dresses,6,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,6,Active,
98,Chapter 6. Saudi Arabia : The Land of Hot Sands,6,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,6,Active,
99,Chapter 6. Types of Houses,6,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,6,Active,
100,Chapter 7. Our Festivals,7,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,7,Active,
101,Chapter 7. Rooms in a House,7,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,7,Active,
102,Chapter 7. Temperate Grasslands : Prairies,7,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,7,Active,
103,Chapter 7. The Islands,7,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,7,Active,
104,Chapter 8. Conquering Distances,8,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,8,Active,
105,Chapter 8. Homes of Animals,8,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,8,Active,
106,Chapter 8. Our Occupations,8,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,8,Active,
107,Chapter 8. Places of Worship,8,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,8,Active,
108,Chapter 8. The Climate of Our Country,8,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,8,Active,
109,Chapter 9. Communication,9,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,9,Active,
110,Chapter 9. Means of Transport,9,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,9,Active,
111,Chapter 9. My Family,9,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,9,Active,
112,Chapter 9. Neighbourhood Services,9,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,9,Active,
113,Chapter 9. Soils of India,9,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,9,Active,
114,"""Activity 29 (i) To compare the curved surface areas of two right circular cylinders which are formed from rectangular sheets Of paper having same dimensions (ii) To compare the Total surface areas Of two right circular cylinders which are formed from rectangular sheets Of paper having same dimensions""",29,CBSE,Class 10,Mathematics,Mathematics Enrichment Lab Activities,,29,Active,
115,A Good House,5,CBSE,Class 2,Social Studies,Illustrative Social Studies,,5,Active,
116,About Myself,1,CBSE,Class 2,Social Studies,Illustrative Social Studies,,1,Active,
117,Activity 1 To find the HCF of two numbers experimentally based on Euclid's Division Lemma,1,CBSE,Class 10,Mathematics,Mathematics Enrichment Lab Activities,,1,Active,
118,Activity 1 To fold a paper 8 times in any way. Unfold and locate various convex and concave polygons,1,CBSE,Class 8,Mathematics,Mathematics Enrichment Lab Activities,,1,Active,
119,Activity 1 To make a square root spiral,1,CBSE,Class 9,Mathematics,Mathematics Enrichment Lab Activities,,1,Active,
120,Activity 1 To multiply a fraction by a number,1,CBSE,Class 7,Mathematics,Mathematics Enrichment Lab Activities,,1,Active,
121,Activity 1 To obtain square roots of natural numbers geometrically,1,CBSE,Class 9,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,1,Active,
122,Activity 1 To verify that addition is commutative for whole numbers by paper cutting and pasting method.,1,CBSE,Class 6,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,1,Active,
123,"ACTIVITY 1 To verify that addition is commutative for whole numbers,by paper cutting and pasting",1,CBSE,Class 6,Mathematics,Mathematics Enrichment Lab Activities,,1,Active,
124,Activity 1. To find the product of two integers with unlike signs by means of a pattern,1,CBSE,Class 7,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,1,Active,
125,Activity 1. To verify experimentally the identity (a + b)2 = a2 + 2 ab + b2.,1,CBSE,Class 8,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,1,Active,
126,Activity 1.To learn about an amazing method of calculation by using the Vedic mathematics,1,CBSE,Class 10,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,1,Active,
127,Activity 10 To draw a perpendicular line to a given line from a given point outside the line by paper folding method.,10,CBSE,Class 6,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,10,Active,
128,Activity 10 To find a hidden picture by plotting and joining with given coordinates in a plane,10,CBSE,Class 9,Mathematics,Mathematics Enrichment Lab Activities,,10,Active,
129,Activity 10 To make a clinometer and use it To measure height Of an Object,10,CBSE,Class 10,Mathematics,Mathematics Enrichment Lab Activities,,10,Active,
130,ACTIVITY 10 To make a protractor,10,CBSE,Class 6,Mathematics,Mathematics Enrichment Lab Activities,,10,Active,
131,Activity 10 To study properties of an isosceles triangle by paper folding,10,CBSE,Class 9,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,10,Active,
132,Activity 10 To verify the following algebraic identity by paper cutting and pasting. (a + b)2 = a2 + 2 ab + b2.,10,CBSE,Class 8,Mathematics,Mathematics Enrichment Lab Activities,,10,Active,
133,Activity 10. To discover the relation between triangular numbers and square numbers by the activity method.,10,CBSE,Class 8,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,10,Active,
134,Activity 10. To find the relation between the measure of an exterior angle of a triangle and the interior opposite angles.,10,CBSE,Class 7,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,10,Active,
135,Activity 10. To represent quadratic polynomials geometrically,10,CBSE,Class 10,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,10,Active,
136,Activity 10To verify by paper cutting and pasting that an exterior angle of a triangle is equal To the sum of the two interior opposite angles,10,CBSE,Class 7,Mathematics,Mathematics Enrichment Lab Activities,,10,Active,
137,Activity 11 (a) To make two intersecting lines by paper folding (b) To make parallel lines by paper folding,11,CBSE,Class 6,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,11,Active,
138,"ACTIVITY 11 To make the following shapes, using a pair Of set squares (a) Square (b) Rectangle (c) Parallelogram (d) Rhombus (e) Trapezium",11,CBSE,Class 6,Mathematics,Mathematics Enrichment Lab Activities,,11,Active,
139,Activity 11 To obtain the mirror image of a given geometrical figure with respect To the x axis and the y axis,11,CBSE,Class 9,Mathematics,Mathematics Enrichment Lab Activities,,11,Active,
140,Activity 11 To study the relation between unequal sides of a triangle and the angles opposite to them,11,CBSE,Class 9,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,11,Active,
141,Activity 11 To verify the distance formula by graphical method,11,CBSE,Class 10,Mathematics,Mathematics Enrichment Lab Activities,,11,Active,
142,Activity 11 To verify the following algebraic identity by paper cutting and pasting. (a  b)2 = a2  2 ab + b2,11,CBSE,Class 8,Mathematics,Mathematics Enrichment Lab Activities,,11,Active,
143,Activity 11 To verify using broom sticks that a triangle can be drawn only if the sum Of the lengths of any two sides is greater than the third side,11,CBSE,Class 7,Mathematics,Mathematics Enrichment Lab Activities,,11,Active,
144,Activity 11. To find the formula for the surface area of a cuboid by activity method. ...,11,CBSE,Class 8,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,11,Active,
145,Activity 11. To verify that the sum of the three exterior angles of a triangle is 360°. ... 22,11,CBSE,Class 7,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,11,Active,
146,Activity 11. To verify the Basic Proportionality Theorem (Thale's Theorem) by activity method,11,CBSE,Class 10,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,11,Active,
147,ACTIVITY 12 Drawing some regular polygons,12,CBSE,Class 6,Mathematics,Mathematics Enrichment Lab Activities,,12,Active,
148,Activity 12 To carry out the following paper folding activities . Finding (i) the mid point of a line segment.,12,CBSE,Class 9,Mathematics,Mathematics Enrichment Lab Activities,,12,Active,
149,Activity 12 To mark the following on a circular cut out : (a) a chord (b) a diameter (c) minor and major segment (d) sector of a circle,12,CBSE,Class 6,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,12,Active,
150,Activity 12 To verify Pythagoras theorem,12,CBSE,Class 7,Mathematics,Mathematics Enrichment Lab Activities,,12,Active,
151,Activity 12 To verify section formula by graphical method,12,CBSE,Class 10,Mathematics,Mathematics Enrichment Lab Activities,,12,Active,
152,Activity 12 To verify the following algebraic identity by paper cutting and pasting. (a2  b2) = (a + b) (a  b),12,CBSE,Class 8,Mathematics,Mathematics Enrichment Lab Activities,,12,Active,
153,"Activity 12. (a) To get a median of a triangle from any vertex, by paper folding.",12,CBSE,Class 7,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,12,Active,
154,Activity 12. To find the formula for the volume of a cuboid by activity method.,12,CBSE,Class 8,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,12,Active,
155,Activity 12. To find the incentre of a triangle by activity method,12,CBSE,Class 9,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,12,Active,
156,"Activity 12. To verify by activity method that: ""In two triangles, if the corresponding angles are equal, then their corresponding sides are proportional and the triangles are similar""",12,CBSE,Class 10,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,12,Active,
157,Activity 13 To carry out the following activities using a geoboard,13,CBSE,Class 9,Mathematics,Mathematics Enrichment Lab Activities,,13,Active,
158,"Activity 13 To draw front view, Top view and side view Of three dimensional shapes made by combining unit cubes",13,CBSE,Class 8,Mathematics,Mathematics Enrichment Lab Activities,,13,Active,
159,"ACTIVITY 13 To make a prism and a pyramid using their nets and to find their number of vertices, edges and faces",13,CBSE,Class 6,Mathematics,Mathematics Enrichment Lab Activities,,13,Active,
160,Activity 13 To represent decimals on a 10 x 10 grid,13,CBSE,Class 6,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,13,Active,
161,Activity 13 To verify Pythagoras theorem using a grid paper,13,CBSE,Class 7,Mathematics,Mathematics Enrichment Lab Activities,,13,Active,
162,Activity 13 To verify the formula for the area Of a triangle by graphical method,13,CBSE,Class 10,Mathematics,Mathematics Enrichment Lab Activities,,13,Active,
163,Activity 13. (a) To get an angle bisector of a triangle by paper folding method.,13,CBSE,Class 7,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,13,Active,
164,Activity 13. To find the circumcentre of a triangle by paper folding,13,CBSE,Class 9,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,13,Active,
165,Activity 13. To organize a set of data into a frequency table involving activities and to represent the same as a bar graph. .,13,CBSE,Class 8,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,13,Active,
166,"Activity 13.To verify by activity method that ""If a perpendicular is drawn from the vertex of the right angle of a right triangle to the hypotenuse, the triangle on each side of the perpendicular are similar to the whole triangle and to each other""....",13,CBSE,Class 10,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,13,Active,
167,ACTIVITY 14 To perform addition and subtraction of integers using different coloured buttons/counters,14,CBSE,Class 6,Mathematics,Mathematics Enrichment Lab Activities,,14,Active,
168,Activity 14 (i) To verify by proper cutting and superimposing that the diagonal Of a parallelogram divides it inTo two congruent triangles (ii) To verify using a squared paper that all congruent triangles are equal in area but the triangles equal in area may not be congruent,14,CBSE,Class 7,Mathematics,Mathematics Enrichment Lab Activities,,14,Active,
169,Activity 14 To divide a given strip Of paper inTo a specified number of equal parts using a ruled paper,14,CBSE,Class 9,Mathematics,Mathematics Enrichment Lab Activities,,14,Active,
170,Activity 14 To draw a quadrilateral similar To a given quadrilateral as per given scale facTor (less than 1),14,CBSE,Class 10,Mathematics,Mathematics Enrichment Lab Activities,,14,Active,
171,Activity 14 To make different types of prisms and pyramids and verifying Euler's formula,14,CBSE,Class 8,Mathematics,Mathematics Enrichment Lab Activities,,14,Active,
172,Activity 14 To represent certain addition and multiplication on a 10 x 10 grid,14,CBSE,Class 6,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,14,Active,
173,"Activity 14. (Group activity) Collecting, tabulating data and representing them diagrammatically.",14,CBSE,Class 8,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,14,Active,
174,Activity 14. To find the orthocentre of a triangle by paper folding,14,CBSE,Class 9,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,14,Active,
175,Activity 14. To make an equilateral triangle by paper folding method.,14,CBSE,Class 7,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,14,Active,
176,Activity 14.To discover the relationship between sides and areas of similar triangles,14,CBSE,Class 10,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,14,Active,
177,"ACTIVITY 15 : To represent decimal numbers 0.25, 0.5, 0.75, 0.68, etc., using a 10 x 10 grid",15,CBSE,Class 6,Mathematics,Mathematics Enrichment Lab Activities,,15,Active,
178,"Activity 15 (i) To verify that Sum of any two sides of a triangle is always greater than the third side. (ii) To verify that difference of any two sides of a triangle is always less than the third Side""",15,CBSE,Class 9,Mathematics,Mathematics Enrichment Lab Activities,,15,Active,
179,"Activity 15 To construct a system of similar squares, using two intersecting strips with nails",15,CBSE,Class 10,Mathematics,Mathematics Enrichment Lab Activities,,15,Active,
180,Activity 15 To derive the formula for Total surface area of a cuboid,15,CBSE,Class 8,Mathematics,Mathematics Enrichment Lab Activities,,15,Active,
181,Activity 15 To determine the number of lines of symmetry by paper folding in (a) an isosceles triangle (b) an equilateral triangle (c) a square (d) a rectangle (e) a rhombus,15,CBSE,Class 6,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,15,Active,
182,Activity 15 To obtain formula for the area of a parallelogram,15,CBSE,Class 7,Mathematics,Mathematics Enrichment Lab Activities,,15,Active,
183,"Activity 15. To collect, classify and tabulate data and to represent the same as a histogram.",15,CBSE,Class 8,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,15,Active,
184,Activity 15. To show by activity method that the diagonals divide a parallelogram into two congruent triangles,15,CBSE,Class 9,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,15,Active,
185,Activity 15. To verify the Pythagoras’ Theorem by activity method.,15,CBSE,Class 7,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,15,Active,
186,Activity 15.To verify the Pythagoras theorem by activity method,15,CBSE,Class 10,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,15,Active,
187,"ACTIVITY 16 (a) To find the areas of palm impressions on a grid paper of each group member, by counting the squares (b) TO represent the data so obtained by means Of a bar graph",16,CBSE,Class 6,Mathematics,Mathematics Enrichment Lab Activities,,16,Active,
188,Activity 16 To compare the surface areas of unit cubes and the cuboid formed by joining these unit cubes,16,CBSE,Class 8,Mathematics,Mathematics Enrichment Lab Activities,,16,Active,
189,Activity 16 To construct a system of similar triangles. using Y shaped strips and nails,16,CBSE,Class 10,Mathematics,Mathematics Enrichment Lab Activities,,16,Active,
190,Activity 16 To define a regular polygon in terms of lines of symmetry by activity method,16,CBSE,Class 6,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,16,Active,
191,Activity 16 To find the ratio of circumference of a circle To its diameter,16,CBSE,Class 7,Mathematics,Mathematics Enrichment Lab Activities,,16,Active,
192,"Activity 16 To verify experimentally that in a triangle, the longer side has greater angle opposite To it",16,CBSE,Class 9,Mathematics,Mathematics Enrichment Lab Activities,,16,Active,
193,Activity 16. To represent given information as a pie chart.,16,CBSE,Class 8,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,16,Active,
194,Activity 16. To verify that diagonals of a parallelogram bisect each other …,16,CBSE,Class 9,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,16,Active,
195,Activity 16. To work out measurements of a rectangle.,16,CBSE,Class 7,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,16,Active,
196,"Activity 16.To verify by paper folding that ""The tangent at any point of a circle is perpendicular to the radius through the point of contact",16,CBSE,Class 10,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,16,Active,
197,ACTIVITY 17 To determine the number Of lines Of symmetry Of following shapes by paper folding : (a) isosceles triangle (b) equilateral triangle (c) square (d) rectangle (e) rhombus,17,CBSE,Class 6,Mathematics,Mathematics Enrichment Lab Activities,,17,Active,
198,Activity 17 To find approximate area of a leaf,17,CBSE,Class 6,Mathematics,I Do — I Understand Mathematics Laboratory Manual,,17,Active,
199,"Activity 17 To make cuboids and cubes of given dimensions (4 x 3 x 2, 3 x 3 x 3) using unit cubes and To calculate the volume Of each",17,CBSE,Class 8,Mathematics,Mathematics Enrichment Lab Activities,,17,Active,
200,Activity 17 To obtain a formula for the area of a circle,17,CBSE,Class 7,Mathematics,Mathematics Enrichment Lab Activities,,17,Active,
201,Activity 17 To verify experimentally the different criteria for congruency Of triangles using triangle cut outs,17,CBSE,Class 9,Mathematics,Mathematics Enrichment Lab Activities,,17,Active,
202,Activity 17 To verify the Basic Proportionality Theorem using parallel line board and triangle cut outs,17,CBSE,Class 10,Mathematics,Mathematics Enrichment Lab Activities,,17,Active,
