Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Fill in the blank (QPG),___________is the name of an action possible with mouse.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Fill in the blank (QPG),The _____________ keeps the computer ON for some time when electricity goes off.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Fill in the blank (QPG),The delete key erases the character to the ____________ of the cursor.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Fill in the blank (QPG),The longest key on the keyboard is _____________ key.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Fill in the blank (QPG),You can directly draw figures on the screen by using a _____________.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Multiple Choice Question (QPG) Test Paper,"F1, F2, … F12 are known as :",N/A,Alphabet keys,Symbol keys,Function keys,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Multiple Choice Question (QPG) Test Paper,"Memory unit has two types of memories. One is RAM, the other is :",N/A,ROM,RIM,MRA,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Multiple Choice Question (QPG) Test Paper,The arrow keys gien on the keyboard are also called :,N/A,Cursor Builder keys,Mask setter keys,Cursor control keys,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Multiple Choice Question (QPG) Test Paper,"When you finish typing a sentence, then :",N/A,Shift key is used,Enter key is used,Backspace key is used,all of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Multiple Choice Question (QPG) Test Paper,"Which key, apart from arrow keys and enter key, sometimes has an arrow printed on it?",N/A,Delete key,Backspace key,Shift Key,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Short Answer Questions (QPG),Define computer.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Short Answer Questions (QPG),What are the two types of computer memory?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Short Answer Questions (QPG),What is the function of ALU?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,Short Answer Questions (QPG),Which are the keys on keyboard used to delete characters?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,True or False (QPG),A joystick is an input device.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,True or False (QPG),A pen Drive is used to store a very large amount of data.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,True or False (QPG),RAM is a kind of primary memory.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,True or False (QPG),"When you press the left mouse button twice very quickly and release, then it is a double click.",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 1. A Computer System,,,True or False (QPG),You can directly draw figures on the screen by using a Light Pen.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Fill in the blank (QPG),__________ are the tools used to see the information.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Fill in the blank (QPG),__________means to close all programs on the computer.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Fill in the blank (QPG),A __________ is a set of instructions.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Fill in the blank (QPG),The band present at the bottom of desktop is called the __________ .,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Multiple Choice Question (QPG) Test Paper,__________ is a gadget in Windows 7.,N/A,Cat,Car,Clock,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Multiple Choice Question (QPG) Test Paper,I in CLI stands for:,N/A,Interview,into,interface,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Multiple Choice Question (QPG) Test Paper,Microsoft Windows 7 is an ___________ system.,N/A,online,operating,offline,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Multiple Choice Question (QPG) Test Paper,Small pictures on desktop are called ___________ .,N/A,Items,icons,images,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Multiple Choice Question (QPG) Test Paper,The button in the left corner of taskbar is called __________ button.,N/A,Start,Slide,Sun,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Short Answer Questions (QPG),Define operating system.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Short Answer Questions (QPG),Name any three gadgets.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Short Answer Questions (QPG),What is the use of ‘clock’ gadget?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,Short Answer Questions (QPG),Write down the names of any three icons present on the desktop.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,True or False (QPG),An operating system controls all the activities of a computer,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,True or False (QPG),"By double clicking an icon, it gets opened.",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,True or False (QPG),Clock and weather are gadgets in Windows 7.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,True or False (QPG),Date and time appear on the right corner of taskbar.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 2. GUI Operating System An Introduction,,,True or False (QPG),Microsoft Windows is not an operating system.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,Fill in the blank (QPG),____________________ icon contains files and folders.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,Fill in the blank (QPG),____________________ means to change the name of a file.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,Fill in the blank (QPG),A folder is a collection of ____________________.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,Fill in the blank (QPG),Recycle Bin stores the ____________________ items.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,Fill in the blank (QPG),"To quit windows, click Start button and then ____________________ .",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,Short Answer Questions (QPG),How will you exit Windows?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,Short Answer Questions (QPG),What is a file?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,True or False (QPG),Recycle bin stores all your important files.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,True or False (QPG),Small pictures on desktop are called items.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,True or False (QPG),Windows 7 is not an operating system.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,True or False (QPG),You can also copy a file by pressing Ctrl + C.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 3. More on MS Windows 7,,,True or False (QPG),You cannot create more than one new folder.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Fill in the blank (QPG),By using ---------------- button you can hide the Word window on the computer.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Fill in the blank (QPG),"In the ribbon, commands are organized in ---------------- .",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Fill in the blank (QPG),The ---------------- slides the document up or down.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Fill in the blank (QPG),The ----------------- toolbar holds various frequently used buttons.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Fill in the blank (QPG),"When the MS-Word screen opens up, it displays a list of ---------------- .",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Multiple Choice Question (QPG) Test Paper,‘Copy’ command is present in:,N/A,Home tab,Insert tab,View tab,Esc tab,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Multiple Choice Question (QPG) Test Paper,"If you want to save an already saved file by some other name, you need to click on:",N/A,Save As option,Copy option,Save option,Cut option,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Multiple Choice Question (QPG) Test Paper,The topmost bar of the Word window is called:,N/A,Status Bar,Title Bar,Scrollbar,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Multiple Choice Question (QPG) Test Paper,Which method will you use to create a duplicate copy of the document?,N/A,Cut and Paste,Copy and Paste,Cut and Copy,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Multiple Choice Question (QPG) Test Paper,Which of the following is the extension of the Word 2013 document?,N/A,.doc,.docxx,.docx,doc,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Short Answer Questions (QPG),How will you exit from the Word?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Short Answer Questions (QPG),What is MS-Word? Why do you use it?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Short Answer Questions (QPG),What is the difference between Save and Save As options?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,Short Answer Questions (QPG),Write the steps to open an existing file.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,True or False (QPG),A horizontal scrollbar allows us to scroll the document left and right.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,True or False (QPG),A ribbon appears when you click on any tab.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,True or False (QPG),MS-Word is the application of Office suite.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,True or False (QPG),The .txt is the extension of the Word document.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 4. Word Processor An Introduction,,,True or False (QPG),You can view the status of the document in the title bar.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,Fill in the blank (QPG),"After minimizing, the browser window is visible only on the _________ .",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,Fill in the blank (QPG),The _________ button hides the browser window from the,N/A,main screen.,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,Fill in the blank (QPG),The _________ button will close the browser window.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,Fill in the blank (QPG),The information on _________ keeps getting updated really fast.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,Multiple Choice Question (QPG) Test Paper,Amazon is a really famous online:,N/A,book store,search engine,shopping site,all of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,Multiple Choice Question (QPG) Test Paper,"Facebook, Google Plus and LinkedIn are examples of:",N/A,networking websites,online shopping sites,search engines,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,Multiple Choice Question (QPG) Test Paper,Forward button in the Internet Explorer allows to:,N/A,go to the previous webpage,Go to the default page,go to the next page,all of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,Multiple Choice Question (QPG) Test Paper,Wikipedia.com is an online:,N/A,search engine,grocery store,encyclopedia,all of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,Short Answer Questions (QPG),Name any three e-commerce websites.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,Short Answer Questions (QPG),What are the buttons available on the Address Bar of the Internet Explorer?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,Short Answer Questions (QPG),What is the role of the Internet in learning things?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,True or False (QPG),Facebook is a search engine.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,True or False (QPG),Social networking is basically searching for people.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,True or False (QPG),The back button is used to refresh the web page.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 3,Computer Science,My Book of Computer Studies,Chapter 5. The Internet An Introduction,,,True or False (QPG),The Internet is a very large network of computers.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 4,Computer Science,My Book of Computer Studies,Chapter 1. Computers Storage and Memory Device,,,Fill in the blank (QPG),#NAME?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 4,Computer Science,My Book of Computer Studies,Chapter 1. Computers Storage and Memory Device,,,Fill in the blank (QPG),A pen drive is a small ---------------- device which can store a large amount of data.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 4,Computer Science,My Book of Computer Studies,Chapter 1. Computers Storage and Memory Device,,,Fill in the blank (QPG),"In CD-RW, RW stands for ---------------- .",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 4,Computer Science,My Book of Computer Studies,Chapter 1. Computers Storage and Memory Device,,,Fill in the blank (QPG),"In the short form, CD-R, R stands for ---------------- .",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 4,Computer Science,My Book of Computer Studies,Chapter 1. Computers Storage and Memory Device,,,Fill in the blank (QPG),"On a hard disk, each surface has its own ---------------- head.",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 4,Computer Science,My Book of Computer Studies,Chapter 1. Computers Storage and Memory Device,,,Multiple Choice Question (QPG) Test Paper,A byte consists of a group of:,N/A,7 bits,8 bits,9 bits,5 bits,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 4,Computer Science,My Book of Computer Studies,Chapter 1. Computers Storage and Memory Device,,,Multiple Choice Question (QPG) Test Paper,"Of the memory devices, which has the highest storage capacity?",N/A,RAM,Pen Drive,Hard Disk Drive,ROM,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
